run_id,backend,worker_write_mode,generator_eps,generator_batch,generator_sec,sent_events,sent_requests,failed_requests,db_count_before,db_count_after,db_inserted,generator_sent_eps,storage_effective_eps,send_elapsed_sec,total_elapsed_sec,drain_wait_sec,loss_percent,started_at,finished_at,stream_len_at_send_finish,pending_at_send_finish,db_count_at_send_finish,stream_len_at_finish,pending_at_finish,e2e_latency_avg_ms,e2e_latency_p95_ms,e2e_latency_p99_ms,queue_latency_avg_ms,queue_latency_p95_ms,queue_latency_p99_ms,system_cpu_avg_percent,system_cpu_max_percent,system_memory_avg_mb,system_memory_max_mb,system_disk_read_mb,system_disk_write_mb,system_net_rx_mb,system_net_tx_mb
20260403-054756,clickhouse,batch,2000,50,180,360000,7200,0,0,360000,360000,360000,200,358201,360000,0,490.6328,948.8113,989.7623,415.9212,931.7453,986.3491,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1998.0452,1970.5449,180.1761,182.6906,2.5145,0.0000,2026-04-03T05:47:56Z,2026-04-03T05:50:58Z
20260403-060037,clickhouse,batch,2000,50,180,360000,7200,0,0,360000,360000,360000,200,358201,360000,0,467.7250,943.9560,988.7912,395.3722,919.1832,983.8366,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1998.0065,1970.5001,180.1796,182.6947,2.5151,0.0000,2026-04-03T06:00:37Z,2026-04-03T06:03:39Z
20260403-061318,clickhouse,batch,2000,50,180,360000,7200,0,0,360000,360000,360000,200,358201,360000,0,495.7812,949.0114,989.8023,422.3236,934.2879,986.8576,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1998.1273,1970.5948,180.1687,182.6860,2.5173,0.0000,2026-04-03T06:13:18Z,2026-04-03T06:16:21Z
20260403-055141,clickhouse,batch,4000,50,180,720000,14400,0,0,566201,566201,720000,200,487201,720000,200,35018.8832,10000.0000,10000.0000,34870.1033,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3992.0580,2691.3801,180.3581,210.3757,30.0176,21.3610,2026-04-03T05:51:41Z,2026-04-03T05:55:11Z
20260403-060417,clickhouse,batch,4000,50,180,719900,14398,2,0,569001,569001,719900,200,485001,719900,200,33173.7516,10000.0000,10000.0000,33019.7284,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3990.1405,2703.9575,180.4197,210.4327,30.0130,20.9611,2026-04-03T06:04:17Z,2026-04-03T06:07:48Z
20260403-061705,clickhouse,batch,4000,50,180,720000,14400,0,0,551601,551601,720000,200,475601,720000,200,35403.2075,10000.0000,10000.0000,35250.4744,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3992.7863,2622.4392,180.3252,210.3389,30.0137,23.3888,2026-04-03T06:17:05Z,2026-04-03T06:20:35Z
20260403-055600,clickhouse,batch,8000,50,180,1266100,25322,3478,0,579401,579401,1266100,200,496001,1266100,200,69533.2832,10000.0000,10000.0000,69232.5660,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7007.5393,2750.0325,180.6768,210.6888,30.0119,54.2373,2026-04-03T05:56:00Z,2026-04-03T05:59:31Z
20260403-060839,clickhouse,batch,8000,50,180,1266150,25323,3477,0,559401,559401,1266150,200,482201,1266150,200,69923.5645,10000.0000,10000.0000,69635.8851,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7009.0651,2655.4984,180.6446,210.6576,30.0130,55.8187,2026-04-03T06:08:39Z,2026-04-03T06:12:09Z
20260403-062129,clickhouse,batch,8000,50,180,1264550,25291,3509,0,558801,558801,1264550,200,483201,1264550,200,69701.9073,10000.0000,10000.0000,69409.1184,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6999.4375,2652.3707,180.6645,210.6798,30.0153,55.8103,2026-04-03T06:21:29Z,2026-04-03T06:25:00Z
20260403-062615,elasticsearch,batch,2000,50,180,360000,7200,0,0,360000,360000,360000,200,359392,360000,0,165.0191,384.9135,981.9947,85.1470,234.8334,923.4801,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1997.9118,1969.4624,180.1881,182.7910,2.6029,0.0000,2026-04-03T06:26:15Z,2026-04-03T06:29:18Z
