run_id,backend,worker_write_mode,generator_eps,generator_batch,generator_sec,sent_events,sent_requests,failed_requests,db_count_before,db_count_after,db_inserted,generator_sent_eps,storage_effective_eps,send_elapsed_sec,total_elapsed_sec,drain_wait_sec,loss_percent,started_at,finished_at,stream_len_at_send_finish,pending_at_send_finish,db_count_at_send_finish,stream_len_at_finish,pending_at_finish,e2e_latency_avg_ms,e2e_latency_p95_ms,e2e_latency_p99_ms,queue_latency_avg_ms,queue_latency_p95_ms,queue_latency_p99_ms,system_cpu_avg_percent,system_cpu_max_percent,system_memory_avg_mb,system_memory_max_mb,system_disk_read_mb,system_disk_write_mb,system_net_rx_mb,system_net_tx_mb
20260403-083329,clickhouse,batch,2000,50,180,360000,7200,0,0,360000,360000,360000,200,358400,360000,0,758.2697,2140.3788,2428.0758,584.5975,1840.4822,2368.0964,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1996.1380,1968.5693,180.3483,182.8739,2.5257,0.0000,2026-04-03T08:33:29Z,2026-04-03T08:36:32Z
20260403-084003,clickhouse,batch,2000,50,180,360000,7200,0,0,360000,360000,360000,200,350800,360000,0,2255.8049,4933.4575,8767.1233,2065.5964,4665.2720,5000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1995.6901,1931.1259,180.3887,186.4197,6.0310,0.0000,2026-04-03T08:40:03Z,2026-04-03T08:43:09Z
20260403-084640,clickhouse,batch,2000,50,180,360000,7200,0,0,346801,346801,360000,200,278401,360000,200,22758.6964,10000.0000,10000.0000,22495.0248,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1991.3870,1644.9902,180.7785,210.8225,30.0440,3.6664,2026-04-03T08:46:40Z,2026-04-03T08:50:11Z
20260403-085341,clickhouse,batch,2000,50,180,360000,7200,0,0,360000,360000,360000,200,358401,360000,0,635.1756,1732.0164,2346.4033,477.0105,956.4645,1182.9268,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1996.2900,1968.7871,180.3345,182.8537,2.5192,0.0000,2026-04-03T08:53:41Z,2026-04-03T08:56:44Z
20260403-090013,clickhouse,batch,2000,50,180,360000,7200,0,0,360000,360000,360000,200,341400,360000,0,2881.6507,8857.8680,9771.5736,2679.4317,8807.1571,9761.4314,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1995.2631,1885.3303,180.4273,190.9480,10.5206,0.0000,2026-04-03T09:00:13Z,2026-04-03T09:03:24Z
20260403-090654,clickhouse,batch,2000,50,180,360000,7200,0,0,341001,341001,360000,200,277401,360000,200,22982.7539,10000.0000,10000.0000,22709.9703,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1992.7135,1618.4710,180.6582,210.6933,30.0351,5.2775,2026-04-03T09:06:54Z,2026-04-03T09:10:24Z
20260403-091353,clickhouse,batch,2000,50,180,360000,7200,0,0,360000,360000,360000,200,358400,360000,0,694.7825,2012.5650,2402.5130,531.3045,1536.4713,2307.2943,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1996.4343,1968.8759,180.3215,182.8455,2.5240,0.0000,2026-04-03T09:13:53Z,2026-04-03T09:16:56Z
20260403-092026,clickhouse,batch,2000,50,180,360000,7200,0,0,360000,360000,360000,200,342600,360000,0,3832.5049,8897.0588,9779.4118,3623.1632,8880.5970,9776.1194,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1995.0702,1894.9259,180.4448,189.9810,9.5363,0.0000,2026-04-03T09:20:26Z,2026-04-03T09:23:36Z
20260403-092706,clickhouse,batch,2000,50,180,360000,7200,0,0,347100,347100,360000,200,276900,360000,200,24145.8435,10000.0000,10000.0000,23858.2896,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1993.9243,1648.2767,180.5485,210.5836,30.0351,3.5833,2026-04-03T09:27:06Z,2026-04-03T09:30:36Z
20260403-093405,elasticsearch,batch,2000,50,180,360000,7200,0,0,360000,360000,360000,200,358000,360000,0,691.2105,3643.0924,4740.7537,478.7133,3514.6064,4702.9213,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1995.9460,1968.3935,180.3656,182.8903,2.5247,0.0000,2026-04-03T09:34:05Z,2026-04-03T09:37:08Z
20260403-094037,elasticsearch,batch,2000,50,180,360000,7200,0,0,360000,360000,360000,200,356998,360000,0,313.0265,804.6215,966.7800,119.6888,245.5378,425.5768,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1994.8391,1961.6859,180.4657,183.5156,3.0499,0.0000,2026-04-03T09:40:37Z,2026-04-03T09:43:41Z
20260403-094712,elasticsearch,batch,2000,50,180,360000,7200,0,0,360000,360000,360000,200,358952,360000,0,416.5170,947.8450,1642.3126,162.1977,424.0490,491.9466,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1993.7487,1966.1205,180.5644,183.1017,2.5373,0.0000,2026-04-03T09:47:12Z,2026-04-03T09:50:15Z
20260403-095346,elasticsearch,batch,2000,50,180,360000,7200,0,0,360000,360000,360000,200,358863,360000,0,377.4556,954.8620,2098.6148,170.6365,455.2995,1879.3103,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1995.6093,1967.8842,180.3960,182.9376,2.5416,0.0000,2026-04-03T09:53:46Z,2026-04-03T09:56:49Z
20260403-100024,elasticsearch,batch,2000,50,180,360000,7200,0,0,360000,360000,360000,200,358750,360000,0,401.3830,933.0520,1256.6198,170.7584,426.4407,491.7824,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1993.6328,1966.0845,180.5749,183.1051,2.5302,0.0000,2026-04-03T10:00:24Z,2026-04-03T10:03:27Z
20260403-100701,elasticsearch,batch,2000,50,180,360000,7200,0,0,360000,360000,360000,200,358000,360000,0,541.2234,1613.8243,2322.7649,258.9228,849.1834,2009.0909,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1992.8683,1970.7512,180.6442,182.6715,2.0273,0.0000,2026-04-03T10:07:01Z,2026-04-03T10:10:03Z
20260403-101337,elasticsearch,batch,2000,50,180,360000,7200,0,0,360000,360000,360000,200,358000,360000,0,259.8724,493.4262,866.7062,97.4386,234.5509,248.8685,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1994.9925,1972.8308,180.4518,182.4789,2.0271,0.0000,2026-04-03T10:13:37Z,2026-04-03T10:16:40Z
20260404-053947,elasticsearch,batch,2000,50,180,360000,7200,0,0,360000,360000,360000,200,358800,360000,0,140.3814,248.8671,465.9917,59.0550,152.9504,247.3643,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1997.6953,1970.2041,180.2077,182.7222,2.5145,0.0000,2026-04-04T05:39:47Z,2026-04-04T05:42:49Z
20260404-054616,elasticsearch,batch,2000,50,180,360000,7200,0,0,360000,360000,360000,200,358000,360000,0,127.1964,241.0595,302.1108,47.2655,95.2895,133.7710,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1998.1126,1970.6313,180.1700,182.6826,2.5125,0.0000,2026-04-04T05:46:16Z,2026-04-04T05:49:18Z
