run_id,backend,duration_sec,interval_sec,warmup_sec,concurrency,run_scenario,workload_name,workload_path,total_queries,failed_queries,started_at,finished_at,system_cpu_avg_percent,system_cpu_max_percent,system_memory_avg_mb,system_memory_max_mb,system_disk_read_mb,system_disk_write_mb,system_net_rx_mb,system_net_tx_mb
20260403-083328,clickhouse,180,1,5,4,mixed,heavy-query-workload,scenarios/query-heavy.json,2596,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-04-03T08:33:28Z,2026-04-03T08:36:34Z
20260403-085339,clickhouse,180,1,5,4,mixed,heavy-query-workload,scenarios/query-heavy.json,2616,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-04-03T08:53:39Z,2026-04-03T08:56:46Z
20260403-091352,clickhouse,180,1,5,4,mixed,heavy-query-workload,scenarios/query-heavy.json,2616,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-04-03T09:13:52Z,2026-04-03T09:16:58Z
20260403-084001,clickhouse,180,1,5,8,mixed,heavy-query-workload,scenarios/query-heavy.json,5116,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-04-03T08:40:01Z,2026-04-03T08:43:08Z
20260403-090012,clickhouse,180,1,5,8,mixed,heavy-query-workload,scenarios/query-heavy.json,5128,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-04-03T09:00:12Z,2026-04-03T09:03:18Z
20260403-092026,clickhouse,180,1,5,8,mixed,heavy-query-workload,scenarios/query-heavy.json,5104,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-04-03T09:20:26Z,2026-04-03T09:23:32Z
20260403-084638,clickhouse,180,1,5,16,mixed,heavy-query-workload,scenarios/query-heavy.json,9808,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-04-03T08:46:38Z,2026-04-03T08:49:45Z
20260403-090652,clickhouse,180,1,5,16,mixed,heavy-query-workload,scenarios/query-heavy.json,9672,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-04-03T09:06:52Z,2026-04-03T09:09:59Z
20260403-092704,clickhouse,180,1,5,16,mixed,heavy-query-workload,scenarios/query-heavy.json,9588,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-04-03T09:27:04Z,2026-04-03T09:30:11Z
20260403-093404,elasticsearch,180,1,5,4,mixed,heavy-query-workload,scenarios/query-heavy.json,2428,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-04-03T09:34:04Z,2026-04-03T09:37:10Z
20260403-095345,elasticsearch,180,1,5,4,mixed,heavy-query-workload,scenarios/query-heavy.json,2480,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-04-03T09:53:45Z,2026-04-03T09:56:51Z
20260403-101336,elasticsearch,180,1,5,4,mixed,heavy-query-workload,scenarios/query-heavy.json,2568,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-04-03T10:13:36Z,2026-04-03T10:16:42Z
20260403-094036,elasticsearch,180,1,5,8,mixed,heavy-query-workload,scenarios/query-heavy.json,4992,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-04-03T09:40:36Z,2026-04-03T09:43:42Z
20260403-100022,elasticsearch,180,1,5,8,mixed,heavy-query-workload,scenarios/query-heavy.json,4864,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-04-03T10:00:22Z,2026-04-03T10:03:29Z
20260404-053947,elasticsearch,180,1,5,8,mixed,heavy-query-workload,scenarios/query-heavy.json,5312,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-04-04T05:39:47Z,2026-04-04T05:42:53Z
20260403-094711,elasticsearch,180,1,5,16,mixed,heavy-query-workload,scenarios/query-heavy.json,9072,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-04-03T09:47:11Z,2026-04-03T09:50:17Z
20260403-100659,elasticsearch,180,1,5,16,mixed,heavy-query-workload,scenarios/query-heavy.json,9092,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-04-03T10:06:59Z,2026-04-03T10:10:06Z
20260404-054614,elasticsearch,180,1,5,16,mixed,heavy-query-workload,scenarios/query-heavy.json,10848,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-04-04T05:46:14Z,2026-04-04T05:49:20Z
