run_id,backend,duration_sec,interval_sec,warmup_sec,concurrency,run_scenario,workload_name,workload_path,total_queries,failed_queries,started_at,finished_at,system_cpu_avg_percent,system_cpu_max_percent,system_memory_avg_mb,system_memory_max_mb,system_disk_read_mb,system_disk_write_mb,system_net_rx_mb,system_net_tx_mb
20260403-070409,clickhouse,180,1,5,4,query-only,heavy-query-workload,scenarios/query-heavy.json,2816,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-04-03T07:04:09Z,2026-04-03T07:07:15Z
20260403-074432,clickhouse,180,1,5,4,query-only,heavy-query-workload,scenarios/query-heavy.json,2800,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-04-03T07:44:32Z,2026-04-03T07:47:38Z
20260403-075420,clickhouse,180,1,5,4,query-only,heavy-query-workload,scenarios/query-heavy.json,2800,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-04-03T07:54:20Z,2026-04-03T07:57:26Z
20260403-070724,clickhouse,180,1,5,8,query-only,heavy-query-workload,scenarios/query-heavy.json,5632,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-04-03T07:07:24Z,2026-04-03T07:10:29Z
20260403-074747,clickhouse,180,1,5,8,query-only,heavy-query-workload,scenarios/query-heavy.json,5600,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-04-03T07:47:47Z,2026-04-03T07:50:53Z
20260403-075735,clickhouse,180,1,5,8,query-only,heavy-query-workload,scenarios/query-heavy.json,5600,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-04-03T07:57:35Z,2026-04-03T08:00:41Z
20260403-074116,clickhouse,180,1,5,16,query-only,heavy-query-workload,scenarios/query-heavy.json,11264,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-04-03T07:41:16Z,2026-04-03T07:44:22Z
20260403-075102,clickhouse,180,1,5,16,query-only,heavy-query-workload,scenarios/query-heavy.json,11144,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-04-03T07:51:02Z,2026-04-03T07:54:09Z
20260403-080050,clickhouse,180,1,5,16,query-only,heavy-query-workload,scenarios/query-heavy.json,11156,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-04-03T08:00:50Z,2026-04-03T08:03:57Z
20260403-080406,elasticsearch,180,1,5,4,query-only,heavy-query-workload,scenarios/query-heavy.json,2832,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-04-03T08:04:06Z,2026-04-03T08:07:12Z
20260403-081350,elasticsearch,180,1,5,4,query-only,heavy-query-workload,scenarios/query-heavy.json,2848,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-04-03T08:13:50Z,2026-04-03T08:16:55Z
20260403-082332,elasticsearch,180,1,5,4,query-only,heavy-query-workload,scenarios/query-heavy.json,2848,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-04-03T08:23:32Z,2026-04-03T08:26:38Z
20260403-080721,elasticsearch,180,1,5,8,query-only,heavy-query-workload,scenarios/query-heavy.json,5696,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-04-03T08:07:21Z,2026-04-03T08:10:27Z
20260403-081704,elasticsearch,180,1,5,8,query-only,heavy-query-workload,scenarios/query-heavy.json,5696,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-04-03T08:17:04Z,2026-04-03T08:20:09Z
20260403-082647,elasticsearch,180,1,5,8,query-only,heavy-query-workload,scenarios/query-heavy.json,5696,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-04-03T08:26:47Z,2026-04-03T08:29:52Z
20260403-081036,elasticsearch,180,1,5,16,query-only,heavy-query-workload,scenarios/query-heavy.json,11392,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-04-03T08:10:36Z,2026-04-03T08:13:41Z
20260403-082018,elasticsearch,180,1,5,16,query-only,heavy-query-workload,scenarios/query-heavy.json,11392,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-04-03T08:20:18Z,2026-04-03T08:23:24Z
20260403-083001,elasticsearch,180,1,5,16,query-only,heavy-query-workload,scenarios/query-heavy.json,11392,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-04-03T08:30:01Z,2026-04-03T08:33:07Z
